날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 12월 31일,"3,230.78","3,215.18","3,231.72","3,212.03",-,0.29%
2020년 01월 02일,"3,257.85","3,244.67","3,258.14","3,235.53",-,0.84%
2020년 01월 03일,"3,234.85","3,226.36","3,246.15","3,222.34",-,-0.71%
2020년 01월 06일,"3,246.28","3,217.55","3,246.84","3,214.64",-,0.35%
2020년 01월 07일,"3,237.18","3,241.86","3,244.91","3,232.43",-,-0.28%
2020년 01월 08일,"3,253.05","3,238.59","3,267.07","3,236.67",-,0.49%
2020년 01월 09일,"3,274.70","3,266.03","3,275.58","3,263.67",-,0.67%
2020년 01월 10일,"3,265.35","3,281.81","3,282.99","3,260.86",-,-0.29%
2020년 01월 13일,"3,288.13","3,271.13","3,288.13","3,268.43",-,0.70%
2020년 01월 14일,"3,283.15","3,285.35","3,294.25","3,277.19",-,-0.15%
2020년 01월 15일,"3,289.29","3,282.27","3,298.66","3,280.69",-,0.19%
2020년 01월 16일,"3,316.81","3,302.97","3,317.11","3,302.82",-,0.84%
2020년 01월 17일,"3,329.62","3,323.66","3,329.88","3,318.86",-,0.39%
2020년 01월 21일,"3,320.79","3,321.03","3,329.79","3,316.61",-,-0.27%
2020년 01월 22일,"3,321.75","3,330.02","3,337.77","3,320.04",-,0.03%
2020년 01월 23일,"3,325.54","3,315.77","3,326.88","3,301.87",-,0.11%
2020년 01월 24일,"3,295.47","3,333.10","3,333.18","3,281.53",-,-0.90%
2020년 01월 27일,"3,243.63","3,247.16","3,258.85","3,234.50",-,-1.57%
2020년 01월 28일,"3,276.24","3,255.35","3,285.78","3,253.22",-,1.01%
2020년 01월 29일,"3,273.40","3,289.46","3,293.47","3,271.89",-,-0.09%
2020년 01월 30일,"3,283.66","3,256.45","3,285.91","3,242.80",-,0.31%
2020년 01월 31일,"3,225.52","3,282.33","3,282.33","3,214.68",-,-1.77%
2020년 02월 03일,"3,248.92","3,235.66","3,268.44","3,235.66",-,0.73%
2020년 02월 04일,"3,297.59","3,280.61","3,306.92","3,280.61",-,1.50%
2020년 02월 05일,"3,334.69","3,324.91","3,337.58","3,313.75",-,1.13%
2020년 02월 06일,"3,345.78","3,344.92","3,347.96","3,334.39",-,0.33%
2020년 02월 07일,"3,327.71","3,335.54","3,341.42","3,322.12",-,-0.54%
2020년 02월 10일,"3,352.09","3,318.28","3,352.26","3,317.77",-,0.73%
2020년 02월 11일,"3,357.75","3,365.87","3,375.63","3,352.72",-,0.17%
2020년 02월 12일,"3,379.45","3,370.50","3,381.47","3,369.72",-,0.65%
2020년 02월 13일,"3,373.94","3,365.90","3,385.09","3,360.52",-,-0.16%
2020년 02월 14일,"3,380.16","3,378.08","3,380.69","3,366.15",-,0.18%
2020년 02월 18일,"3,370.29","3,369.04","3,375.01","3,355.61",-,-0.29%
2020년 02월 19일,"3,386.15","3,380.39","3,393.52","3,378.83",-,0.47%
2020년 02월 20일,"3,373.23","3,380.45","3,389.15","3,341.02",-,-0.38%
2020년 02월 21일,"3,337.75","3,360.50","3,360.76","3,328.45",-,-1.05%
2020년 02월 24일,"3,225.89","3,257.61","3,259.81","3,214.65",-,-3.35%
2020년 02월 25일,"3,128.21","3,238.94","3,246.99","3,118.77",-,-3.03%
2020년 02월 26일,"3,116.39","3,139.90","3,182.51","3,108.99",-,-0.38%
