날짜,종가,오픈,고가,저가,변동 %
2019년 12월 30일,"1,156.97","1,160.70","1,161.03","1,154.48",-0.17%
2019년 12월 31일,"1,154.07","1,157.97","1,159.00","1,152.94",-0.25%
2020년 01월 01일,"1,154.02","1,155.07","1,155.32","1,154.08",0.00%
2020년 01월 02일,"1,157.35","1,155.02","1,161.15","1,153.48",0.29%
2020년 01월 03일,"1,164.95","1,157.94","1,168.83","1,155.70",0.66%
2020년 01월 06일,"1,166.94","1,165.89","1,172.99","1,165.78",0.17%
2020년 01월 07일,"1,167.30","1,167.54","1,168.82","1,163.11",0.03%
2020년 01월 08일,"1,162.25","1,168.30","1,179.67","1,160.50",-0.43%
2020년 01월 09일,"1,158.72","1,162.49","1,163.55","1,157.41",-0.30%
2020년 01월 10일,"1,157.97","1,159.73","1,164.16","1,157.55",-0.06%
2020년 01월 13일,"1,153.95","1,158.92","1,159.57","1,153.13",-0.35%
2020년 01월 14일,"1,157.20","1,154.95","1,159.66","1,150.30",0.28%
2020년 01월 15일,"1,157.91","1,158.20","1,162.80","1,155.85",0.06%
2020년 01월 16일,"1,159.73","1,158.91","1,161.97","1,156.50",0.16%
2020년 01월 17일,"1,160.44","1,160.73","1,161.93","1,155.97",0.06%
2020년 01월 20일,"1,158.61","1,161.46","1,162.20","1,155.87",-0.16%
2020년 01월 21일,"1,169.01","1,159.61","1,170.77","1,157.94",0.90%
2020년 01월 22일,"1,164.76","1,170.01","1,170.20","1,162.02",-0.36%
2020년 01월 23일,"1,168.54","1,165.76","1,170.77","1,164.29",0.32%
2020년 01월 24일,"1,169.20","1,168.60","1,171.06","1,166.02",0.06%
2020년 01월 27일,"1,176.70","1,170.24","1,179.71","1,170.09",0.64%
2020년 01월 28일,"1,175.71","1,177.70","1,181.88","1,174.96",-0.08%
2020년 01월 29일,"1,178.68","1,176.21","1,180.43","1,173.73",0.25%
2020년 01월 30일,"1,187.64","1,179.68","1,193.67","1,178.22",0.76%
2020년 01월 31일,"1,194.97","1,188.64","1,198.55","1,183.88",0.62%
2020년 02월 03일,"1,189.79","1,195.96","1,199.44","1,190.17",-0.43%
2020년 02월 04일,"1,182.90","1,190.81","1,194.28","1,183.24",-0.58%
2020년 02월 05일,"1,183.40","1,183.90","1,192.90","1,180.18",0.04%
2020년 02월 06일,"1,185.28","1,184.40","1,186.77","1,177.71",0.16%
2020년 02월 07일,"1,191.39","1,186.28","1,196.29","1,184.72",0.52%
2020년 02월 10일,"1,187.17","1,192.39","1,194.50","1,185.33",-0.35%
2020년 02월 11일,"1,181.25","1,188.17","1,188.57","1,180.42",-0.50%
