날짜,종가,오픈,고가,저가,변동 %
2020년 01월 02일,61.19,61.42,61.48,60.73,-0.05%
2020년 01월 03일,63.1,61.2,64.11,61.16,3.12%
2020년 01월 05일,63.89,63.84,64.3,63.64,1.25%
2020년 01월 06일,62.99,63.86,64.75,62.69,-1.41%
2020년 01월 07일,64.92,62.98,65.48,62.16,3.06%
2020년 01월 08일,59.97,64.92,65.67,59.17,-7.62%
2020년 01월 09일,59.55,59.98,60.31,58.7,-0.70%
2020년 01월 10일,59.17,59.53,59.8,58.88,-0.64%
2020년 01월 12일,58.94,59.12,59.12,58.73,-0.39%
2020년 01월 13일,58.12,58.92,59.28,57.95,-1.39%
2020년 01월 14일,58.09,58.13,58.72,57.77,-0.05%
2020년 01월 15일,58.12,58.09,58.37,57.39,0.05%
2020년 01월 16일,58.61,58.13,58.87,57.58,0.84%
2020년 01월 17일,58.77,58.62,58.98,58.28,0.27%
2020년 01월 19일,59.22,59.33,59.62,59.19,0.77%
2020년 01월 20일,58.67,59.23,59.27,58.52,-0.93%
2020년 01월 21일,58.26,58.66,58.8,57.66,-0.70%
2020년 01월 22일,56.09,58.24,58.33,56.03,-3.72%
2020년 01월 23일,55.62,56.08,56.12,54.73,-0.84%
2020년 01월 24일,54.13,55.62,55.91,53.84,-2.68%
2020년 01월 26일,52.56,53.37,53.55,52.16,-2.90%
2020년 01월 27일,52.91,52.59,53.47,52.12,0.67%
2020년 01월 28일,53.74,52.92,54.02,52.64,1.57%
2020년 01월 29일,53.09,53.73,54.33,52.8,-1.21%
2020년 01월 30일,52.84,53.09,53.16,51.64,-0.47%
2020년 01월 31일,51.57,52.84,53.31,50.95,-2.40%
2020년 02월 02일,51.02,50.77,51.23,50.77,-1.07%
2020년 02월 03일,49.88,51.02,51.94,49.64,-2.23%
2020년 02월 04일,49.58,49.91,51.52,49.32,-0.60%
2020년 02월 05일,51.2,49.61,51.84,49.59,3.27%
2020년 02월 06일,51.41,51.17,52.14,50.23,0.41%
2020년 02월 07일,50.34,51.41,51.41,50.08,-2.08%
2020년 02월 09일,49.74,49.97,50.14,49.55,-1.19%
2020년 02월 10일,49.78,49.74,50.44,49.44,0.08%
2020년 02월 11일,50.12,49.8,50.67,49.7,0.68%
2020년 02월 12일,51.45,50.12,51.95,50.08,2.65%
2020년 02월 13일,51.39,51.47,51.89,50.59,-0.12%
2020년 02월 14일,52.2,51.41,52.3,51.31,1.58%
2020년 02월 16일,52.11,52.22,52.34,52.09,-0.17%
2020년 02월 17일,51.95,52.09,52.21,51.8,-0.31%
2020년 02월 18일,52.16,51.97,52.19,50.91,0.40%
2020년 02월 19일,53.53,52.17,53.55,51.94,2.63%
2020년 02월 20일,53.26,53.52,54.39,53.17,-0.50%
2020년 02월 21일,53.22,53.28,53.62,52.34,-0.08%
2020년 02월 23일,51.87,52.37,52.42,51.48,-2.54%
2020년 02월 24일,51.27,51.88,52.09,50.27,-1.16%
2020년 02월 25일,50.01,51.27,51.83,49.55,-2.46%
2020년 02월 26일,48.26,50.02,50.27,48.09,-3.50%
2020년 02월 27일,46.66,48.24,48.38,45.76,-3.32%
2020년 02월 28일,45.13,46.7,46.79,43.73,-3.28%
2020년 03월 01일,44.45,43.37,44.58,43.37,-1.51%
2020년 03월 02일,47.8,44.47,47.81,44.31,7.54%
2020년 03월 03일,46.91,47.8,48.52,46.38,-1.86%
2020년 03월 04일,47.23,46.91,48.3,46.55,0.68%
2020년 03월 05일,46.12,47.23,47.45,45.55,-2.35%
2020년 03월 06일,41.53,46.14,46.27,40.98,-9.95%
2020년 03월 08일,32.45,32.5,33.51,32.3,-21.86%
2020년 03월 09일,32.38,32.47,34.77,27.3,-0.22%
2020년 03월 10일,34.01,32.57,34.95,31.75,5.03%
2020년 03월 11일,33.09,34.08,36.23,32.53,-2.71%
2020년 03월 12일,31.02,33.12,33.51,29.99,-6.26%
2020년 03월 13일,32.98,30.96,33.84,30.61,6.32%
2020년 03월 15일,30.45,30.21,30.61,29.75,-7.67%
2020년 03월 16일,29.13,30.45,31.52,28.12,-4.33%
2020년 03월 17일,26.48,29.11,30.28,26.21,-9.10%
2020년 03월 18일,23.57,26.5,27.16,20.05,-10.99%
2020년 03월 19일,26,23.38,27.61,21.34,10.31%
2020년 03월 20일,23.2,25.98,27.97,22.02,-10.77%
2020년 03월 22일,21.23,21.09,21.34,20.5,-8.49%
2020년 03월 23일,24.05,21.2,24.2,21.2,13.28%
2020년 03월 24일,24.25,23.98,24.75,22.73,0.83%
2020년 03월 25일,23.89,24.25,24.82,22.59,-1.48%
2020년 03월 26일,22.77,23.84,24.27,22.05,-4.69%
2020년 03월 27일,21.53,22.77,23.04,20.61,-5.45%
2020년 03월 29일,20.05,20.63,20.63,19.69,-6.87%
2020년 03월 30일,20.27,20.07,20.59,19.04,1.10%
2020년 03월 31일,20.05,20.27,21.59,19.78,-1.09%
2020년 04월 01일,21.02,20.06,21.3,19.71,4.84%
2020년 04월 02일,24.46,21.01,26.94,20.54,16.37%
2020년 04월 03일,28.5,24.42,28.83,23.27,16.52%
2020년 04월 05일,26.13,25.88,26.3,25.2,-8.32%
2020년 04월 06일,26.75,26.14,27.98,25.62,2.37%
2020년 04월 07일,24.45,26.73,27.02,23.37,-8.60%
2020년 04월 08일,26.23,24.45,26.38,23.57,7.28%
2020년 04월 09일,23.05,26.25,28.12,22.45,-12.12%
2020년 04월 12일,23.12,24.46,24.46,21.95,0.30%
2020년 04월 13일,22.8,23.13,24.44,22.21,-1.38%
2020년 04월 14일,20.79,22.75,22.82,19.88,-8.82%
2020년 04월 15일,20.25,20.77,20.8,19.14,-2.60%
2020년 04월 16일,19.88,20.29,20.45,19.38,-1.83%
2020년 04월 17일,18.16,19.89,20.04,17.27,-8.65%
2020년 04월 19일,17.05,17.73,17.81,16.91,-6.11%
2020년 04월 20일,11.96,17.05,17.21,11.34,-29.85%
2020년 04월 21일,7.98,11.99,12.71,6.79,-33.28%
2020년 04월 22일,8.05,7.97,8.23,6.93,0.88%
2020년 04월 23일,8.21,8.04,8.54,7.88,1.99%
2020년 04월 24일,7.99,8.16,8.32,7.79,-2.68%
2020년 04월 26일,8.07,8.02,8.09,8,1.00%
2020년 04월 27일,7.79,8.07,8.07,7.64,-3.47%
2020년 04월 28일,7.79,7.78,8.13,7.64,0.00%
2020년 04월 29일,8.16,7.77,8.16,7.77,4.75%
2020년 04월 30일,8.62,8.15,8.75,7.96,5.64%
2020년 05월 01일,8.31,8.61,8.79,8.16,-3.60%
