일자,종목명,기사요약,근거,대표단어,label,종가,거래량,등락률,KOSPI200,KOSPI200_등락률,환율,환율변동률,유가,유가변동률,S&P500,S&P500_등락률
2020.01.02,SK이노베이션,SK이노베이션이 전기차용 배터리를 중심으로 하는 미래 모빌리티 혁신 기술을 대거 공개했다. 자사 뿐 아니라 자사 제품을 사서 쓰는 고객을 혁신시킨다는 목표를 세우고 이를 'SK인사이드(SK inside)'라고 명명했다.,기술 공개,"전기차용 배터리, 미래 모빌리티 혁신 기술, sk 인사이드",1,146500,217016,-2.33%,290.35,-1.16%,"1,154.02",0.00%,61.19,-0.05%,"3,230.78",0.29%
2020.01.02,현대차,현대차 코나EV가 테슬라 모델3에 맞서는 전기차 강자로 떠올랐다.,실적 호재,"코나EV, 강자, 맞서는",1,118000,556532,-2.07%,290.35,-1.16%,"1,154.02",0.00%,61.19,-0.05%,"3,230.78",0.29%
2020.01.03,LG 화학,"LG화학, 전기차배터리가 화학 시황 침체 상쇄하고 남을 것으로 추정",실적 호재,"침체 상쇄, 추정",1,311000,165030,-0.96%,290.35,-1.16%,"1,157.35",0.29%,63.1,3.12%,"3,257.85",0.00%
2020.01.03,SK이노베이션,"SK이노베이션은 이번 전시회에서 모빌리티 관련 기술과 제품을 한데 모아 ‘SK 인사이드’라는 캐치프레이즈를 새로 공개한다. ‘인텔 인사이드’처럼 최첨단 배터리, 초경량·친환경 소재, 윤활유 제품 등 SK 제품이 모빌리티 안에 들어 있다는 의미다.",기술 공개,"최첨단 배터리, 초경량·친환경 소재, sk 인사이드, 공개",1,149500,274987,2.05%,290.74,-1.16%,"1,157.35",0.29%,63.1,3.12%,"3,257.85",0.84%
2020.01.03,현대차,현대차그룹은 2025년까지 미래 모빌리티 기술과 전략에 총 41조원 규모 투자를 단행한다.,설비 투자,"투자, 단행, 미리 모빌리티 기술",1,116000,1145187,-1.69%,290.74,0.13%,"1,157.35",0.29%,63.1,3.12%,"3,257.85",0.84%
2020.01.03,현대차,또한 미국 자율주행 전문업체인 앱티브사와 협력을 강화해 자율주행 시대를 앞당길 계획이다.,협력방안 논의,"앱티브사, 협력, 자율주행, 앞당길, 계획",1,118500,1145187,-1.69%,290.35,-1.16%,"1,157.35",0.29%,63.1,3.12%,"3,257.85",0.84%
2020.01.03,현대차,현대·기아차는 1월 한 달간 최초 등록기준 차령 10년 이상 차량을 보유한 소비자가 승용·레저용차량(RV) 구매 시 30만원을 할인해준다.,공격적 마케팅,"할인, 최초, 구매",1,118500,1145187,-1.69%,290.35,-1.16%,"1,157.35",0.29%,63.1,3.12%,"3,257.85",0.84%
2020.01.03,현대차,"현대차그룹이 미래 성장을 위해 그룹 총투자를 연간 20조원 규모로 크게 확대하고, 향후 5년간 총 100조원 이상을 투자할 계획이다.",투자 확대 기대,"투자, 계획, 확대, 규모, 성장",1,118500,1145187,-1.69%,290.35,-1.16%,"1,157.35",0.29%,63.1,3.12%,"3,257.85",0.84%
2020.01.06,현대차,현대자동차그룹이 미국의 유력 디자인상인 '2020 굿디자인 어워드(2020 Good Design Award)'에서 9개 제품이 운송 디자인 부문 수상작으로 선정됐다고 30일 밝혔다.,실적 호재,"2020 굿디자인 어워드, 수상작, 선정",1,207500,5651695,8.07%,399.88,2.72%,"1,164.95",0.66%,62.99,-1.41%,"3,257.85",0.84%
2020.01.06,현대차,"지난 30일(현지시간) 월스트리트저널(WSJ)과 미국 자동차 리서치 업체 워즈인텔리전스, 현대차그룹 등에 따르면, 2020년 1~11월 현대차그룹의 현지 시장 점유율은 8.6%를 기록했다.",시장 점유율 상승,"시장 점유율, 기록",1,207500,5651695,8.07%,399.88,2.72%,"1,164.95",0.66%,62.99,-1.41%,"3,257.85",0.84%
