날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 12월 30일,"317,500","311,500","318,000","311,000",168.88K,2.25%
2020년 01월 02일,"314,000","321,000","321,000","313,500",139.47K,-1.10%
2020년 01월 03일,"311,000","317,000","318,500","310,500",164.87K,-0.96%
2020년 01월 05일,"311,000","311,000","311,000","311,000",-,0.00%
2020년 01월 06일,"307,000","308,000","311,000","306,500",138.07K,-1.29%
2020년 01월 07일,"311,000","306,000","313,500","305,000",133.75K,1.30%
2020년 01월 08일,"302,000","306,000","307,000","301,500",225.33K,-2.89%
2020년 01월 09일,"306,500","305,000","307,500","304,500",198.34K,1.49%
2020년 01월 10일,"325,000","307,000","325,500","306,500",608.95K,6.04%
2020년 01월 12일,"325,000","325,000","325,000","325,000",-,0.00%
2020년 01월 13일,"332,500","328,500","335,000","327,500",359.26K,2.31%
2020년 01월 14일,"333,500","335,000","343,000","331,000",424.63K,0.30%
2020년 01월 15일,"328,500","330,500","333,000","327,000",206.60K,-1.50%
2020년 01월 16일,"329,000","328,500","330,000","324,000",189.00K,0.15%
2020년 01월 17일,"333,000","330,500","333,000","330,000",220.98K,1.22%
2020년 01월 20일,"354,000","340,500","355,000","340,000",555.86K,6.31%
2020년 01월 21일,"344,500","358,000","359,000","344,500",363.12K,-2.68%
2020년 01월 22일,"351,500","347,500","353,000","344,500",274.10K,2.03%
2020년 01월 23일,"348,500","347,500","354,000","347,000",260.73K,-0.85%
2020년 01월 27일,"348,500","348,500","348,500","348,500",-,0.00%
2020년 01월 28일,"336,500","338,000","339,500","335,000",339.00K,-3.44%
2020년 01월 29일,"335,000","338,000","339,000","332,500",271.98K,-0.45%
2020년 01월 30일,"343,500","338,500","347,500","338,500",562.02K,2.54%
2020년 01월 31일,"337,500","349,000","354,000","335,000",390.81K,-1.75%
2020년 02월 02일,"337,500","337,500","337,500","337,500",-,0.00%
2020년 02월 03일,"350,000","328,500","351,500","325,500",590.02K,3.70%
2020년 02월 04일,"379,500","364,500","385,000","361,500",984.20K,8.43%
2020년 02월 05일,"382,000","391,000","391,500","377,000",727.78K,0.66%
2020년 02월 06일,"382,000","374,500","385,000","372,500",544.60K,0.00%
2020년 02월 07일,"386,500","377,000","391,500","377,000",391.95K,1.18%
2020년 02월 09일,"386,500","386,500","386,500","386,500",-,0.00%
2020년 02월 10일,"387,000","382,500","390,000","381,000",286.14K,0.13%
2020년 02월 11일,"413,500","394,500","420,000","393,500",982.17K,6.85%
2020년 02월 12일,"408,000","408,500","412,000","403,500",452.49K,-1.33%
2020년 02월 13일,"411,500","408,500","418,000","408,000",442.44K,0.86%
2020년 02월 14일,"413,500","416,500","420,000","412,000",289.86K,0.49%
2020년 02월 16일,"413,500","413,500","413,500","413,500",-,0.00%
2020년 02월 17일,"419,500","420,500","422,500","409,000",513.82K,1.45%
2020년 02월 18일,"418,000","418,000","422,000","415,000",365.67K,-0.36%
2020년 02월 19일,"404,000","420,500","421,500","403,500",765.06K,-3.35%
2020년 02월 20일,"419,000","408,500","422,000","406,000",482.06K,3.71%
2020년 02월 21일,"407,000","407,000","416,500","406,500",400.02K,-2.86%
2020년 02월 23일,"407,000","407,000","407,000","407,000",-,0.00%
2020년 02월 24일,"395,000","392,000","400,000","391,500",462.59K,-2.95%
2020년 02월 25일,"399,500","395,500","400,500","391,500",478.28K,1.14%
2020년 02월 26일,"395,000","394,000","398,000","387,000",333.62K,-1.13%
2020년 02월 27일,"388,000","394,000","398,000","384,000",344.50K,-1.77%
2020년 02월 28일,"368,000","376,500","380,000","366,500",640.95K,-5.15%
2020년 03월 01일,"368,000","368,000","368,000","368,000",-,0.00%
2020년 03월 02일,"377,000","368,500","385,000","362,500",512.71K,2.45%
2020년 03월 03일,"386,500","393,000","398,500","384,500",546.86K,2.52%
2020년 03월 04일,"392,000","383,500","398,500","382,000",478.03K,1.42%
2020년 03월 05일,"406,000","407,500","412,000","402,000",644.29K,3.57%
2020년 03월 06일,"400,000","401,000","404,000","395,500",357.13K,-1.48%
2020년 03월 08일,"400,000","400,000","400,000","400,000",-,0.00%
2020년 03월 09일,"374,000","383,000","385,500","373,500",608.56K,-6.50%
2020년 03월 10일,"373,500","371,000","380,000","368,000",655.23K,-0.13%
2020년 03월 11일,"365,000","374,000","377,500","362,000",446.24K,-2.28%
2020년 03월 12일,"341,500","359,000","367,000","334,500",1.04M,-6.44%
2020년 03월 13일,"340,500","315,000","343,500","313,000",894.95K,-0.29%
2020년 03월 15일,"340,500","340,500","340,500","340,500",-,0.00%
2020년 03월 16일,"312,500","343,000","348,000","312,500",744.78K,-8.22%
2020년 03월 17일,"306,500","295,000","315,500","294,500",816.49K,-1.92%
2020년 03월 18일,"280,000","307,500","312,000","280,000",919.24K,-8.65%
2020년 03월 19일,"230,000","284,500","285,500","230,000",0.02K,-17.86%
2020년 03월 20일,"272,500","246,000","273,000","242,000",1.28M,18.48%
2020년 03월 22일,"272,500","272,500","272,500","272,500",-,0.00%
2020년 03월 23일,"268,000","251,000","286,500","249,000",0.24K,-1.65%
2020년 03월 24일,"288,000","283,500","297,500","275,000",0.03K,7.46%
2020년 03월 25일,"307,500","309,500","316,000","297,000",0.17K,6.77%
2020년 03월 26일,"299,500","310,500","314,000","297,500",0.30K,-2.60%
2020년 03월 27일,"303,500","313,000","314,500","292,500",647.78K,1.34%
2020년 03월 29일,"303,500","303,500","303,500","303,500",-,0.00%
2020년 03월 30일,"303,000","291,000","307,000","289,500",470.89K,-0.16%
2020년 03월 31일,"305,000","306,500","309,500","298,500",489.68K,0.66%
