날짜,종가,오픈,고가,저가,거래량,변동 %
2019년 12월 30일,"150,000","151,000","151,500","149,500",155.87K,-0.66%
2020년 01월 02일,"146,500","150,500","151,000","146,500",216.75K,-2.33%
2020년 01월 03일,"149,500","147,500","150,000","146,500",274.56K,2.05%
2020년 01월 05일,"149,500","149,500","149,500","149,500",-,0.00%
2020년 01월 06일,"148,000","151,000","153,000","147,000",317.26K,-1.00%
2020년 01월 07일,"144,500","148,000","148,500","144,000",320.04K,-2.36%
2020년 01월 08일,"137,000","144,000","144,000","136,000",701.34K,-5.19%
2020년 01월 09일,"137,500","140,000","141,000","136,000",640.38K,0.36%
2020년 01월 10일,"138,000","137,500","140,500","136,500",420.37K,0.36%
2020년 01월 12일,"138,000","138,000","138,000","138,000",-,0.00%
2020년 01월 13일,"138,000","138,000","139,500","137,000",315.20K,0.00%
2020년 01월 14일,"139,500","138,500","141,000","138,500",358.60K,1.09%
2020년 01월 15일,"137,000","140,000","140,000","136,000",389.00K,-1.79%
2020년 01월 16일,"133,000","136,500","137,000","132,000",630.10K,-2.92%
2020년 01월 17일,"133,500","133,000","135,000","132,500",318.43K,0.38%
2020년 01월 19일,"133,500","133,500","133,500","133,500",-,0.00%
2020년 01월 20일,"135,500","134,000","136,500","134,000",335.49K,1.50%
2020년 01월 21일,"134,500","136,500","137,000","134,000",300.84K,-0.74%
2020년 01월 22일,"134,500","134,500","135,500","133,000",170.89K,0.00%
2020년 01월 23일,"130,000","134,000","134,000","129,500",486.02K,-3.35%
2020년 01월 27일,"130,000","130,000","130,000","130,000",-,0.00%
2020년 01월 28일,"125,000","125,500","126,000","123,000",645.61K,-3.85%
2020년 01월 29일,"125,000","125,500","126,000","123,000",481.09K,0.00%
2020년 01월 30일,"125,000","125,000","127,500","124,000",400.46K,0.00%
2020년 01월 31일,"130,000","125,000","132,000","122,000",1.24M,4.00%
2020년 02월 02일,"130,000","130,000","130,000","130,000",-,0.00%
2020년 02월 03일,"123,500","128,500","128,500","123,500",779.59K,-5.00%
2020년 02월 04일,"128,000","124,000","129,000","123,500",958.32K,3.64%
2020년 02월 05일,"134,000","131,000","137,000","130,000",1.47M,4.69%
2020년 02월 06일,"136,000","136,000","137,000","134,000",713.65K,1.49%
2020년 02월 07일,"133,500","135,000","135,000","132,500",468.39K,-1.84%
2020년 02월 09일,"133,500","133,500","133,500","133,500",-,0.00%
2020년 02월 10일,"136,500","133,000","137,500","132,000",474.17K,2.25%
2020년 02월 11일,"140,500","136,500","141,500","136,000",830.14K,2.93%
2020년 02월 12일,"140,500","141,000","142,000","138,500",542.72K,0.00%
2020년 02월 13일,"138,500","140,000","142,000","138,500",533.94K,-1.42%
2020년 02월 14일,"137,500","140,000","140,000","137,500",373.27K,-0.72%
2020년 02월 16일,"137,500","137,500","137,500","137,500",-,0.00%
2020년 02월 17일,"136,500","129,000","138,000","128,000",1.04M,-0.73%
2020년 02월 18일,"136,500","136,500","140,000","134,500",523.64K,0.00%
2020년 02월 19일,"135,000","137,500","138,000","134,000",427.75K,-1.10%
2020년 02월 20일,"133,000","135,500","136,000","132,000",436.76K,-1.48%
2020년 02월 21일,"130,500","132,000","132,500","130,000",428.20K,-1.88%
2020년 02월 24일,"123,500","126,000","127,000","123,500",530.28K,-5.36%
2020년 02월 25일,"122,500","120,000","124,000","120,000",646.48K,-0.81%
2020년 02월 26일,"120,000","120,500","122,000","119,500",785.39K,-2.04%
2020년 02월 27일,"116,500","120,000","120,000","116,500",673.73K,-2.92%
2020년 02월 28일,"113,000","113,500","114,000","112,000",771.02K,-3.00%
2020년 03월 01일,"113,000","113,000","113,000","113,000",-,0.00%
2020년 03월 02일,"114,000","112,000","115,500","112,000",609.36K,0.88%
2020년 03월 03일,"114,500","116,500","118,500","114,000",624.84K,0.44%
2020년 03월 04일,"115,000","115,500","117,000","114,000",553.02K,0.44%
2020년 03월 05일,"113,000","116,500","116,500","112,000",795.01K,-1.74%
2020년 03월 06일,"108,000","111,000","111,500","107,000",825.12K,-4.42%
2020년 03월 08일,"108,000","108,000","108,000","108,000",-,0.00%
2020년 03월 09일,"99,100","101,500","103,000","99,000",1.44M,-8.24%
2020년 03월 10일,"100,500","98,000","102,000","96,700",1.15M,1.41%
2020년 03월 11일,"98,000","101,000","102,500","96,800",789.60K,-2.49%
2020년 03월 12일,"92,400","97,300","97,400","90,500",1.00M,-5.71%
2020년 03월 13일,"86,500","83,300","87,200","82,500",1.22M,-6.39%
2020년 03월 15일,"86,500","86,500","86,500","86,500",-,0.00%
2020년 03월 16일,"80,200","86,000","86,900","80,200",1.11M,-7.28%
2020년 03월 17일,"77,900","75,100","79,400","75,100",1.00M,-2.87%
2020년 03월 18일,"70,900","77,300","77,800","70,900",915.09K,-8.99%
2020년 03월 19일,"57,300","71,500","72,200","55,100",0.05K,-19.18%
2020년 03월 20일,"64,800","61,000","65,100","59,100",1.71M,13.09%
2020년 03월 22일,"64,800","64,800","64,800","64,800",-,0.00%
2020년 03월 23일,"60,300","58,100","62,900","57,800",0.15K,-6.94%
2020년 03월 24일,"72,000","63,100","73,200","61,500",1.57M,19.40%
2020년 03월 25일,"90,000","78,400","91,200","75,700",6.15K,25.00%
2020년 03월 26일,"85,000","91,200","100,000","85,000",1.53K,-5.56%
2020년 03월 27일,"87,700","89,600","90,500","85,200",1.74M,3.18%
2020년 03월 29일,"87,700","87,700","87,700","87,700",-,0.00%
2020년 03월 30일,"86,100","83,400","87,700","81,700",1.14M,-1.82%
2020년 03월 31일,"87,000","88,000","88,200","84,500",1.02M,1.05%
2020년 04월 01일,"82,500","85,100","87,000","82,500",798.30K,-5.17%
2020년 04월 02일,"90,400","83,100","93,500","81,400",2.05M,9.58%
2020년 04월 03일,"89,700","95,800","98,500","87,800",1.77M,-0.77%
2020년 04월 05일,"89,700","89,700","89,700","89,700",-,0.00%
2020년 04월 06일,"94,400","91,100","95,500","90,000",1.38M,5.24%
2020년 04월 07일,"94,300","96,500","96,900","91,900",1.14M,-0.11%
2020년 04월 08일,"93,600","92,600","95,900","92,200",823.58K,-0.74%
2020년 04월 09일,"98,000","96,800","98,000","95,000",1.17M,4.70%
2020년 04월 10일,"100,500","95,300","101,500","95,300",1.29M,2.55%
2020년 04월 12일,"100,500","100,500","100,500","100,500",-,0.00%
2020년 04월 13일,"96,300","99,800","100,500","95,800",772.22K,-4.18%
2020년 04월 14일,"97,200","97,100","99,300","96,500",676.88K,0.93%
2020년 04월 15일,"97,200","97,200","97,200","97,200",-,0.00%
2020년 04월 16일,"96,700","95,300","98,000","94,300",721.72K,-0.51%
2020년 04월 17일,"97,700","97,300","98,500","97,100",871.97K,1.03%
2020년 04월 19일,"97,700","97,700","97,700","97,700",-,0.00%
2020년 04월 20일,"99,000","99,200","102,500","98,300",894.93K,1.33%
2020년 04월 21일,"98,500","97,500","101,000","95,300",969.96K,-0.51%
2020년 04월 22일,"96,300","96,500","97,300","95,100",745.44K,-2.23%
2020년 04월 23일,"99,400","98,700","100,000","97,300",901.87K,3.22%
2020년 04월 24일,"97,600","100,500","101,000","97,500",617.80K,-1.81%
2020년 04월 26일,"97,600","97,600","97,600","97,600",-,0.00%
2020년 04월 27일,"97,600","97,600","98,900","97,600",447.24K,0.00%
2020년 04월 28일,"96,500","96,200","97,700","95,700",652.53K,-1.13%
2020년 04월 29일,"98,300","97,000","100,500","97,000",879.21K,1.87%
2020년 05월 03일,"98,300","98,300","98,300","98,300",-,0.00%
2020년 05월 04일,"96,700","99,900","99,900","96,500",829.40K,-1.63%
2020년 05월 05일,"96,700","96,700","96,700","96,700",-,0.00%
2020년 05월 06일,"100,000","99,200","103,000","99,200",1.26M,3.41%
2020년 05월 07일,"98,700","99,200","99,500","97,800",665.34K,-1.30%
2020년 05월 08일,"98,600","99,000","99,500","98,600",444.29K,-0.10%
2020년 05월 10일,"98,600","98,600","98,600","98,600",-,0.00%
2020년 05월 11일,"97,500","99,200","99,600","97,500",462.62K,-1.12%
2020년 05월 12일,"95,400","97,000","97,400","95,000",637.86K,-2.15%
2020년 05월 13일,"95,500","95,000","95,500","93,000",0.26K,0.10%
2020년 05월 14일,"93,600","94,600","94,800","93,000",0.07K,-1.99%
2020년 05월 15일,"94,400","94,900","96,000","94,200",477.12K,0.85%
2020년 05월 17일,"94,400","94,400","94,400","94,400",-,0.00%
2020년 05월 18일,"96,800","96,000","96,900","94,400",561.76K,2.54%
2020년 05월 19일,"103,500","101,500","104,000","100,000",0.47K,6.92%
2020년 05월 20일,"103,500","101,500","104,500","101,000",610.05K,0.00%
2020년 05월 21일,"106,500","106,000","110,000","105,500",1.12M,2.90%
2020년 05월 22일,"103,500","106,500","107,000","102,000",678.93K,-2.82%
2020년 05월 24일,"103,500","103,500","103,500","103,500",-,0.00%
2020년 05월 25일,"106,000","104,000","106,500","102,000",0.12K,2.42%
2020년 05월 26일,"121,000","106,000","122,500","105,500",2.66K,14.15%
2020년 05월 27일,"122,500","122,000","129,000","118,000",1.01K,1.24%
2020년 05월 28일,"118,000","121,000","124,500","116,500",0.15K,-3.67%
2020년 05월 29일,"118,500","119,000","121,000","117,500",734.21K,0.42%
2020년 05월 31일,"118,500","118,500","118,500","118,500",-,0.00%
2020년 06월 01일,"124,000","123,000","127,000","122,500",0.58K,4.64%
2020년 06월 02일,"124,000","123,000","126,000","122,500",0.01K,0.00%
2020년 06월 03일,"127,500","127,000","128,500","125,000",0.96K,2.82%
2020년 06월 04일,"125,500","129,000","130,500","125,000",0.31K,-1.57%
2020년 06월 05일,"126,500","125,500","127,000","122,500",539.00K,0.80%
2020년 06월 08일,"126,500","131,000","132,500","126,500",0.47K,0.00%
2020년 06월 09일,"125,500","127,500","129,500","125,000",0.48K,-0.79%
2020년 06월 10일,"124,500","125,000","125,500","123,000",0.18K,-0.80%
2020년 06월 11일,"120,500","123,500","124,000","119,000",1.02M,-3.21%
2020년 06월 12일,"115,000","113,500","116,500","111,000",1.15M,-4.56%
2020년 06월 14일,"115,000","115,000","115,000","115,000",-,0.00%
2020년 06월 15일,"106,500","112,500","118,500","106,500",0.05K,-7.39%
2020년 06월 16일,"116,500","110,500","118,500","109,000",1.07M,9.39%
2020년 06월 17일,"126,000","119,000","127,500","118,000",2.40M,8.15%
2020년 06월 18일,"126,000","128,000","129,500","122,000",0.15K,0.00%
2020년 06월 19일,"126,000","128,500","129,000","123,500",863.26K,0.00%
2020년 06월 21일,"126,000","126,000","126,000","126,000",-,0.00%
2020년 06월 22일,"125,500","126,500","128,000","124,000",0.24K,-0.40%
2020년 06월 23일,"128,000","128,500","130,500","125,000",0.46K,1.99%
2020년 06월 24일,"136,500","129,500","137,000","127,000",0.10K,6.64%
2020년 06월 25일,"134,000","133,500","138,500","131,500",1.28M,-1.83%
2020년 06월 26일,"136,000","138,000","138,500","134,000",786.81K,1.49%
2020년 06월 28일,"136,000","136,000","136,000","136,000",-,0.00%
2020년 06월 29일,"130,000","133,500","136,000","129,500",0.07K,-4.41%
2020년 06월 30일,"131,000","134,000","137,000","131,000",0.02K,0.77%
2020년 07월 01일,"129,000","134,500","134,500","129,000",582.74K,-1.53%
2020년 07월 02일,"131,500","131,000","132,500","128,000",0.08K,1.94%
2020년 07월 03일,"132,000","133,000","135,000","131,000",596.66K,0.38%
2020년 07월 05일,"132,000","132,000","132,000","132,000",-,0.00%
2020년 07월 06일,"135,500","135,000","137,000","133,000",0.01K,2.65%
2020년 07월 07일,"133,500","138,000","138,000","132,000",1.12K,-1.48%
2020년 07월 08일,"134,000","134,500","136,000","133,500",0.00K,0.37%
2020년 07월 09일,"134,500","134,000","135,500","132,000",592.96K,0.37%
2020년 07월 10일,"130,500","133,500","133,500","129,500",685.26K,-2.97%
2020년 07월 13일,"131,000","132,000","132,500","131,000",0.63K,0.38%
2020년 07월 14일,"128,000","129,500","130,000","127,000",0.73K,-2.29%
2020년 07월 15일,"123,500","129,000","129,500","122,500",0.04K,-3.52%
2020년 07월 16일,"124,500","125,500","127,000","124,000",0.06K,0.81%
2020년 07월 17일,"124,500","124,500","126,000","123,000",294.40K,0.00%
2020년 07월 19일,"124,500","124,500","124,500","124,500",-,0.00%
2020년 07월 20일,"122,500","123,500","123,500","120,000",0.10K,-1.61%
2020년 07월 21일,"125,000","123,500","126,500","123,000",0.19K,2.04%
2020년 07월 22일,"135,000","127,000","136,000","126,000",0.06K,8.00%
2020년 07월 23일,"132,000","135,500","136,000","129,000",969.78K,-2.22%
2020년 07월 24일,"132,000","130,000","133,000","129,000",471.53K,0.00%
2020년 07월 26일,"132,000","132,000","132,000","132,000",-,0.00%
2020년 07월 27일,"131,000","132,000","136,000","130,500",0.03K,-0.76%
2020년 07월 28일,"133,000","132,500","134,000","131,500",0.09K,1.53%
2020년 07월 29일,"131,000","132,500","134,500","130,500",0.24K,-1.50%
2020년 07월 30일,"127,500","131,500","132,500","127,000",0.35K,-2.67%
2020년 07월 31일,"127,000","128,000","131,000","124,500",653.12K,-0.39%
2020년 08월 03일,"129,500","128,000","131,000","126,500",0.05K,1.97%
2020년 08월 04일,"132,000","132,500","134,500","131,000",558.25K,1.93%
2020년 08월 05일,"159,000","133,500","159,000","131,500",1.43K,20.45%
2020년 08월 06일,"163,500","160,000","170,500","154,500",0.28K,2.83%
2020년 08월 07일,"184,000","167,500","190,000","165,000",5.97M,12.54%
2020년 08월 09일,"184,000","184,000","184,000","184,000",-,0.00%
2020년 08월 10일,"186,000","191,000","197,000","182,000",4.10K,1.09%
2020년 08월 11일,"187,000","183,500","191,500","179,500",1.64K,0.54%
2020년 08월 12일,"182,500","185,000","189,500","180,000",0.01K,-2.41%
2020년 08월 13일,"182,000","187,000","189,500","181,000",0.01K,-0.27%
2020년 08월 14일,"172,000","181,000","181,500","169,500",1.61M,-5.49%
